,num_decks_initial,running_count,expected_value,true_count,avg (dollars/hour)
112,8,112,59511.0,19.157894736842103,357.066
113,8,113,58114.0,19.392739273927397,348.68399999999997
114,8,114,59644.0,19.62913907284768,357.864
115,8,115,56199.0,19.867109634551497,337.19399999999996
116,8,116,67706.0,20.106666666666666,406.236
117,8,117,61204.0,20.347826086956523,367.224
118,8,118,63296.0,20.59060402684564,379.776
119,8,119,64516.0,20.835016835016837,387.096
120,8,120,65403.0,21.08108108108108,392.418
121,8,121,69268.0,21.328813559322032,415.608
122,8,122,66671.0,21.578231292517007,400.02599999999995
123,8,123,70809.0,21.82935153583617,424.854
124,8,124,77040.0,22.08219178082192,462.23999999999995
125,8,125,70872.0,22.33676975945017,425.23199999999997
126,8,126,74309.0,22.593103448275865,445.854
127,8,127,77033.0,22.85121107266436,462.198
128,8,128,73176.0,23.11111111111111,439.056
