,num_decks_initial,running_count,num_wins
286,7,126,32
287,7,127,28
288,7,128,50
289,7,129,35
290,7,130,37
291,7,131,42
292,7,132,41
293,7,133,33
294,7,134,36
295,7,135,41
296,7,136,46
297,7,137,49
298,7,138,34
299,7,139,44
300,6,0,7
301,6,1,5
302,6,2,7
303,6,3,6
304,6,4,9
305,6,5,9
306,6,6,11
307,6,7,8
308,6,8,2
309,6,9,14
310,6,10,15
311,6,11,13
312,6,12,9
313,6,13,3
314,6,14,3
315,6,15,5
316,6,16,10
317,6,17,9
318,6,18,9
319,6,19,6
320,6,20,7
321,6,21,12
322,6,22,9
323,6,23,12
324,6,24,13
325,6,25,9
326,6,26,10
327,6,27,13
328,6,28,14
329,6,29,9
330,6,30,8
331,6,31,17
332,6,32,10
333,6,33,7
334,6,34,15
335,6,35,11
336,6,36,11
337,6,37,12
338,6,38,10
339,6,39,10
340,6,40,6
341,6,41,10
342,6,42,8
343,6,43,10
344,6,44,10
345,6,45,11
346,6,46,13
347,6,47,18
348,6,48,8
349,6,49,17
350,6,50,14
351,6,51,13
352,6,52,13
353,6,53,15
354,6,54,17
355,6,55,12
356,6,56,15
357,6,57,17
358,6,58,13
359,6,59,16
360,6,60,21
361,6,61,16
362,6,62,22
363,6,63,15
364,6,64,12
365,6,65,17
366,6,66,13
367,6,67,24
368,6,68,18
369,6,69,15
370,6,70,15
371,6,71,26
372,6,72,20
373,6,73,17
374,6,74,17
375,6,75,15
376,6,76,27
377,6,77,21
378,6,78,21
379,6,79,21
380,6,80,18
381,6,81,34
382,6,82,20
383,6,83,26
384,6,84,24
385,6,85,26
386,6,86,18
387,6,87,19
388,6,88,22
389,6,89,32
390,6,90,20
391,6,91,28
392,6,92,29
393,6,93,33
394,6,94,36
395,6,95,33
396,6,96,39
397,6,97,27
398,6,98,28
399,6,99,35
400,6,100,31
401,6,101,36
402,6,102,32
403,6,103,36
404,6,104,39
405,6,105,28
406,6,106,27
407,6,107,36
408,6,108,42
409,6,109,29
410,6,110,36
411,6,111,48
412,6,112,41
413,6,113,40
414,6,114,38
415,6,115,40
416,6,116,43
417,6,117,45
418,6,118,39
419,6,119,47
420,5,0,6
421,5,1,5
422,5,2,6
423,5,3,3
424,5,4,8
425,5,5,4
426,5,6,12
427,5,7,9
428,5,8,13
429,5,9,6
430,5,10,9
431,5,11,7
432,5,12,8
433,5,13,6
434,5,14,12
435,5,15,12
436,5,16,13
437,5,17,16
438,5,18,12
439,5,19,14
440,5,20,8
441,5,21,8
442,5,22,16
443,5,23,11
444,5,24,8
445,5,25,11
446,5,26,11
447,5,27,12
448,5,28,13
449,5,29,10
450,5,30,10
451,5,31,9
452,5,32,6
453,5,33,18
454,5,34,14
455,5,35,13
456,5,36,15
457,5,37,14
458,5,38,13
459,5,39,11
460,5,40,12
461,5,41,15
462,5,42,9
463,5,43,12
464,5,44,7
465,5,45,9
466,5,46,8
467,5,47,14
468,5,48,12
